,industry_code_wage,industry_title_wage,recovery_wage,peak_wage,growth_wage,growth_pcg_wage,recovery_empl,peak_empl,growth_empl,growth_pcg_empl
140,1119,Other crop farming,2010.0,566.0,151.0,26.67844522968198,2015.0,9731.0,35.0,0.3596752646182304
141,1121,Cattle ranching and farming,2010.25,501.0,189.0,37.72455089820359,2009.75,14550.0,1300.0,8.934707903780069
142,1122,Hog and pig farming,2010.0,590.0,156.0,26.440677966101696,2007.25,2365.0,-14.0,-0.5919661733615222
143,1123,Poultry and egg production,2010.0,697.0,114.0,16.3558106169297,2009.25,1661.0,174.0,10.475617098133656
144,1124,Sheep and goat farming,2013.25,0.0,595.0,inf,2014.25,306.0,20.0,6.535947712418301
145,1125,Aquaculture,2012.0,661.0,110.0,16.64145234493192,2015.0,825.0,1.0,0.12121212121212122
146,1129,Other animal production,2010.0,636.0,157.0,24.68553459119497,2014.75,3055.0,59.0,1.9312602291325693
147,1131,Timber tract operations,2014.0,0.0,965.0,inf,2007.25,649.0,-12.0,-1.848998459167951
148,1132,Forest nursery and gathering forest products,2014.25,0.0,638.0,inf,2010.75,281.0,13.0,4.6263345195729535
149,1133,Logging,2009.25,0.0,0.0,,2007.25,10335.0,-2121.0,-20.522496371552975
150,1141,Fishing,2011.5,1317.0,-1317.0,-100.0,2007.25,2145.0,-41.0,-1.9114219114219115
151,1142,Hunting and trapping,2009.5,474.0,-474.0,-100.0,2012.5,405.0,43.0,10.617283950617285
152,1151,Support activities for crop production,2010.0,438.0,126.0,28.767123287671232,2012.0,10298.0,660.0,6.4090114585356375
153,1152,Support activities for animal production,2007.25,0.0,0.0,,2012.5,5169.0,250.0,4.836525440123815
154,1153,Support activities for forestry,2007.25,0.0,0.0,,2007.25,2372.0,-46.0,-1.93929173693086
155,2111,Oil and gas extraction,2007.25,0.0,0.0,,2010.0,8971.0,898.0,10.010032326385017
156,2121,Coal mining,2010.0,1440.0,279.0,19.375,2009.25,1275.0,-135.0,-10.588235294117647
157,2122,Metal ore mining,2010.25,1591.0,47.0,2.95411690760528,2011.75,434.0,22.0,5.0691244239631335
158,2123,Nonmetallic mineral mining and quarrying,2009.25,0.0,1020.0,inf,2007.25,6119.0,-339.0,-5.540120934793267
159,2131,Support activities for mining,2007.25,0.0,0.0,,2009.5,14500.0,4601.0,31.73103448275862
160,2211,Power generation and supply,2010.5,1408.0,209.0,14.84375,2009.5,8093.0,727.0,8.98307179043618
161,2212,Natural gas distribution,2010.0,1095.0,-1095.0,-100.0,2009.25,2697.0,220.0,8.157211716722285
162,2213,"Water, sewage and other systems",2011.5,905.0,-905.0,-100.0,2010.25,7175.0,95.0,1.32404181184669
163,2361,Residential building construction,2007.25,0.0,0.0,,2007.25,222000.0,-48327.0,-21.76891891891892
164,2362,Nonresidential building construction,2007.25,0.0,0.0,,2007.25,53319.0,-410.0,-0.768956657101596
165,2371,Utility system construction,2007.25,771.0,-771.0,-100.0,2014.5,24580.0,324.0,1.3181448331977217
166,2372,Land subdivision,2010.0,942.0,85.0,9.023354564755838,2007.25,14128.0,-7328.0,-51.868629671574176
167,2373,"Highway, street, and bridge construction",2010.0,848.0,-848.0,-100.0,2007.25,11857.0,-606.0,-5.110904950662056
168,2379,Other heavy construction,2007.25,974.0,-974.0,-100.0,2007.25,8152.0,-283.0,-3.471540726202159
169,2381,Building foundation and exterior contractors,2014.0,870.0,95.0,10.919540229885058,2007.25,121488.0,-26532.0,-21.83919399446859
170,2382,Building equipment contractors,2007.25,0.0,0.0,,2007.25,204591.0,-11838.0,-5.7861782776368464
171,2383,Building finishing contractors,2010.0,538.0,-538.0,-100.0,2007.25,148560.0,-31108.0,-20.939687668282176
172,2389,Other specialty trade contractors,2011.25,769.0,16.0,2.080624187256177,2007.25,88624.0,-12278.0,-13.85403502437263
173,3111,Animal food manufacturing,2010.0,1029.0,138.0,13.411078717201166,2009.25,1999.0,91.0,4.552276138069034
174,3112,Grain and oilseed milling,2007.25,0.0,0.0,,2013.75,929.0,33.0,3.552206673842842
